City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
44,Kudahuvadhoo,MV,81.34,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
45,East London,ZA,67.17,overcast clouds,-33.0153,27.9116,Tu Casa
46,Sao Geraldo Do Araguaia,BR,80.42,broken clouds,-6.4006,-48.555,Hotel Por do Sol
48,Namibe,AO,65.77,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
51,Bambous Virieux,MU,72.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
52,Acari,PE,71.06,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
53,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
56,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
57,Tuatapere,NZ,65.35,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
58,Makokou,GA,69.67,overcast clouds,0.5738,12.8642,Motel des voyageurs
60,Mongu,ZM,82.15,broken clouds,-15.2484,23.1274,Country Lodge Mongu
61,Port Alfred,ZA,66.78,overcast clouds,-33.5906,26.891,The Halyards Hotel
63,Itarema,BR,80.06,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
67,Kaeo,NZ,65.32,light rain,-35.1,173.7833,Bushido Lodge
69,Boende,CD,70.81,overcast clouds,-0.2167,20.8667,
70,Makakilo City,US,84.61,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
74,Lebanon,US,68.22,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
78,Brandon,US,82.31,haze,27.9378,-82.2859,Brandon Motor Lodge
79,Teguise,ES,66.42,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
81,Issia,CI,71.73,broken clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
86,Huarmey,PE,66.16,few clouds,-10.0681,-78.1522,Hotel Miramar
87,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
89,Adre,TD,77.59,clear sky,13.4667,22.2,
91,Ca Mau,VN,75.29,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
92,Mangrol,IN,79.07,clear sky,21.1167,70.1167,Hotel The Royal Honours
93,Caravelas,BR,74.97,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
96,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
97,Souillac,MU,72.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
98,Sola,VU,78.48,overcast clouds,-13.8833,167.55,Leumerus Bungalows
99,Victoria,HK,77.38,broken clouds,22.2855,114.1577,Mini Hotel Central
100,Hilo,US,80.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
103,Airai,TL,68.05,overcast clouds,-8.9266,125.4092,Juvinal Martin
106,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
107,Vao,NC,72.43,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
109,Ribeira Grande,PT,66.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
110,Hambantota,LK,78.21,overcast clouds,6.1241,81.1185,Bungalow 63
111,Karratha,AU,75.18,clear sky,-20.7377,116.8463,ibis Styles Karratha
115,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
116,Ishigaki,JP,71.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
118,Port-Gentil,GA,76.96,light rain,-0.7193,8.7815,Fengshui Residence
