City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Pisco,PE,-13.7,-76.2167,66.25,68,0,18.41,clear sky
116,Ishigaki,JP,24.3448,124.1572,71.73,73,75,8.05,broken clouds
117,Ewa Beach,US,21.3156,-158.0072,85.95,54,40,16.11,scattered clouds
118,Port-Gentil,GA,-0.7193,8.7815,76.96,94,90,9.22,light rain
119,High Rock,BS,26.6208,-78.2833,78.82,61,62,8.95,broken clouds
120,Mackenzie,CA,55.2999,-123.1698,44.82,65,90,11.5,overcast clouds
121,Saskylakh,RU,71.9167,114.0833,-6.59,100,100,3.6,overcast clouds
122,Kansanshi,ZM,-12.0951,26.4273,70.59,51,76,7.43,broken clouds
123,Geraldton,AU,-28.7667,114.6,52.21,93,100,4.61,overcast clouds
124,Devonport,AU,-41.1667,146.35,63.01,65,38,4.92,scattered clouds
125,Castro,BR,-24.7911,-50.0119,62.82,96,99,7.92,overcast clouds
126,Loukhi,RU,66.0764,33.0381,15.58,96,99,2.8,overcast clouds
127,Rocha,UY,-34.4833,-54.3333,67.08,72,0,5.06,clear sky
128,Mungaa,TZ,-4.9667,34.8833,65.26,56,7,11.3,clear sky
129,Tessalit,ML,20.1986,1.0114,83.05,20,78,11.18,broken clouds
130,Port Hedland,AU,-20.3167,118.5667,68.05,88,0,5.75,clear sky
131,Axim,GH,4.8699,-2.2405,78.21,86,27,7.96,light rain
132,Mao,ES,39.8885,4.2658,59.56,82,20,6.91,few clouds
133,Ponta Do Sol,PT,32.6667,-17.1,69.71,69,5,2.19,clear sky
134,Aklavik,CA,68.2191,-135.0107,29.23,93,98,1.63,overcast clouds
135,Port Hardy,CA,50.6996,-127.4199,50.18,87,75,11.5,light rain
136,Torbay,CA,47.6666,-52.7314,40.57,90,90,9.22,overcast clouds
137,Dudinka,RU,69.4058,86.1778,-10.91,99,78,4.16,broken clouds
138,Derzhavinsk,KZ,51.1,66.3167,31.24,44,12,13.02,few clouds
139,Puerto Ayora,EC,-0.7393,-90.3518,75.16,92,90,3.0,overcast clouds
140,Klaksvik,FO,62.2266,-6.589,45.52,88,100,24.63,overcast clouds
141,Sokoni,TZ,-6.4333,39.55,76.86,79,45,8.16,scattered clouds
142,Lahij,YE,13.1667,44.5833,76.59,58,3,3.67,clear sky
143,Pimentel,PE,-6.8367,-79.9342,66.49,68,0,20.71,clear sky
144,Bilibino,RU,68.0546,166.4372,-17.61,97,35,2.75,scattered clouds
145,Thompson,CA,55.7435,-97.8558,41.16,100,90,3.44,mist
146,San Pedro,PH,14.35,121.0167,80.35,78,90,3.44,overcast clouds
147,Mar Del Plata,AR,-38.0023,-57.5575,68.02,87,0,5.99,clear sky
148,Gonbad-E Qabus,IR,37.25,55.1672,49.8,66,0,4.88,clear sky
149,Ola,RU,59.5833,151.2833,25.52,78,100,5.44,overcast clouds
150,Westport,US,41.1415,-73.3579,57.79,82,90,1.01,overcast clouds
151,Vilhena,BR,-12.7406,-60.1458,73.62,88,75,8.05,thunderstorm with light rain
152,Agaro,ET,7.85,36.65,59.85,91,66,1.5,broken clouds
153,Nagua,DO,19.3832,-69.8474,86.05,74,20,0.0,few clouds
154,Iskele,TR,39.484,26.9278,57.29,67,0,19.57,clear sky
155,Honiara,SB,-9.4333,159.95,86.18,66,29,6.98,scattered clouds
156,Esqueda,MX,30.7167,-109.5833,71.28,13,0,10.16,clear sky
157,Huilong,CN,31.8111,121.655,61.03,63,32,8.12,light rain
158,Neiafu,TO,-18.65,-173.9833,81.28,69,40,11.5,light rain
159,Leningradskiy,RU,69.3833,178.4167,10.53,92,100,20.18,light snow
160,Juegang,CN,32.3174,121.1855,59.92,63,65,7.4,light rain
161,Susehri,TR,40.1644,38.0867,45.68,30,0,0.45,clear sky
162,Pali,IN,25.7667,73.3333,71.28,34,0,5.39,clear sky
163,Lebu,CL,-37.6167,-73.65,54.01,84,44,13.2,scattered clouds
164,Tasiilaq,GL,65.6145,-37.6368,32.16,67,31,5.86,scattered clouds
165,Bayir,TR,37.2687,28.2167,48.72,80,29,2.89,scattered clouds
166,Atasu,KZ,48.6814,71.6433,28.85,57,0,6.76,clear sky
167,Chumikan,RU,54.7183,135.315,31.5,87,12,10.38,few clouds
168,Hami,CN,42.8,93.45,46.27,37,2,1.68,clear sky
169,Jiblah,YE,13.9216,44.1467,58.62,64,11,4.34,few clouds
170,Surt,LY,31.2089,16.5887,72.37,74,3,10.38,clear sky
171,Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,9.22,broken clouds
172,Alappuzha,IN,9.49,76.3264,76.3,88,96,4.09,overcast clouds
173,Bitung,ID,1.4451,125.1824,76.05,74,89,3.6,overcast clouds
174,Dingle,PH,10.9995,122.6711,77.25,92,100,6.89,light rain
175,Carbonia,IT,39.1672,8.5222,61.99,83,100,4.38,overcast clouds
176,Itaituba,BR,-4.2761,-55.9836,80.76,89,40,0.0,thunderstorm
177,Kidal,ML,18.4411,1.4078,85.5,14,18,8.14,few clouds
178,Avera,US,33.194,-82.5271,69.67,37,6,3.2,clear sky
179,Carutapera,BR,-1.195,-46.02,79.16,79,79,6.96,broken clouds
180,Peniche,PT,39.3558,-9.3811,66.61,78,0,3.13,clear sky
181,Atuona,PF,-9.8,-139.0333,77.59,69,7,14.29,clear sky
182,Lensk,RU,60.7253,114.9278,28.29,77,99,15.19,light snow
183,Hamilton,US,39.1834,-84.5333,53.42,79,20,1.99,few clouds
184,Rio Grande,BR,-32.035,-52.0986,69.1,82,0,7.7,clear sky
185,Dreux,FR,48.6667,1.25,49.71,79,17,7.76,few clouds
186,Dukat,RU,62.55,155.55,5.97,89,97,5.66,overcast clouds
187,Sao Filipe,CV,14.8961,-24.4956,79.07,76,94,9.86,overcast clouds
188,Komsomolskiy,UZ,40.4272,71.7189,48.92,57,100,6.91,haze
189,Koumac,NC,-20.5667,164.2833,80.01,69,8,7.7,clear sky
190,Fortuna,US,40.5982,-124.1573,70.36,67,75,3.0,broken clouds
191,Kemijarvi,FI,66.7131,27.4306,27.39,90,100,9.08,overcast clouds
192,Monrovia,LR,6.3005,-10.7969,79.0,84,71,7.25,broken clouds
193,Massakory,TD,12.996,15.7293,84.83,13,14,9.62,few clouds
194,Cradock,ZA,-32.1642,25.6192,65.19,79,100,17.25,light rain
195,Hay River,CA,60.8156,-115.7999,37.38,87,90,5.75,light intensity drizzle
196,Achkhoy-Martan,RU,43.19,45.28,30.96,77,0,4.27,clear sky
197,Aykhal,RU,66.0,111.5,16.0,89,100,24.2,overcast clouds
198,Manyana,BW,-23.4,21.7167,66.18,77,100,9.26,overcast clouds
